Latitude,Longitude
54.296005,-4.588777
54.296007,-4.588776
54.296009,-4.588765
54.295920,-4.588623
54.295814,-4.588405
54.295630,-4.588121
54.295567,-4.588064
54.295564,-4.588081
54.295546,-4.588054
54.295538,-4.588048
54.295533,-4.588062
54.295539,-4.588032
54.295539,-4.588028
54.295545,-4.588018
54.295541,-4.588009
54.295536,-4.587964
54.295529,-4.587962
54.295522,-4.587914
54.295509,-4.587881
54.295509,-4.587847
54.295511,-4.587842
54.295512,-4.587836
54.295515,-4.587830
54.295510,-4.587826
54.295508,-4.587822
54.295500,-4.587807
54.295496,-4.587814
54.295494,-4.587818
54.295499,-4.587837
54.295493,-4.587843
54.295509,-4.587793
54.295512,-4.587790
54.295507,-4.587768
54.295503,-4.587756
54.295497,-4.587724
54.295493,-4.587682
54.295490,-4.587665
54.295479,-4.587529
54.295412,-4.587319
54.295205,-4.586884
54.294985,-4.586333
54.294854,-4.586140
54.294842,-4.586022
54.294801,-4.585680
54.294730,-4.585571
54.294570,-4.585227
54.294443,-4.584871
54.294301,-4.584475
54.294275,-4.584334
54.294268,-4.584196
54.294268,-4.584200
54.294178,-4.584240
54.294115,-4.584231
54.294205,-4.584239
54.294272,-4.584200
54.294275,-4.584193
54.294244,-4.584146
54.294238,-4.584145
54.294052,-4.583723
54.293979,-4.583454
54.293959,-4.583413
54.293940,-4.583418
54.293914,-4.583493
54.293906,-4.583498
54.293876,-4.583457
54.293872,-4.583445
54.293857,-4.583381
54.293825,-4.583226
54.293709,-4.582942
54.293695,-4.582854
54.293683,-4.582842
54.293674,-4.582826
54.293666,-4.582808
54.293655,-4.582793
54.293642,-4.582781
54.293626,-4.582770
54.293578,-4.582667
54.293465,-4.582273
54.293427,-4.582189
54.293415,-4.582164
54.293404,-4.582174
54.293393,-4.582182
54.293361,-4.582135
54.293357,-4.582125
54.293354,-4.582106
54.293353,-4.582104
54.293352,-4.582097
54.293350,-4.582076
54.293349,-4.582069
54.293347,-4.582062
54.293348,-4.582058
54.293345,-4.582052
54.293366,-4.582053
54.293379,-4.582035
54.293370,-4.582001
54.293380,-4.581997
54.293379,-4.582002
54.293378,-4.582004
54.293363,-4.581923
54.293352,-4.581897
54.293300,-4.581854
54.293269,-4.581804
54.293135,-4.581429
54.293021,-4.580997
54.293007,-4.580958
54.292974,-4.580906
54.292943,-4.580903
54.292941,-4.580980
54.292956,-4.580940
54.292919,-4.580891
54.292897,-4.580874
54.292830,-4.580690
54.292637,-4.580130
54.292490,-4.579790
54.292481,-4.579780
54.292474,-4.579761
54.292473,-4.579747
54.292468,-4.579731
54.292426,-4.579596
54.292436,-4.579560
54.292432,-4.579545
54.292431,-4.579542
54.292430,-4.579534
54.292417,-4.579549
54.292414,-4.579542
54.292429,-4.579539
54.292428,-4.579540
54.292431,-4.579544
54.292435,-4.579543
54.292440,-4.579544
54.292444,-4.579541
54.292451,-4.579539
54.292459,-4.579526
54.292489,-4.579539
54.292501,-4.579544
54.292497,-4.579497
54.292493,-4.579483
54.292496,-4.579482
54.292486,-4.579448
54.292440,-4.579416
54.292383,-4.579380
54.292334,-4.579317
54.292272,-4.579173
54.292286,-4.579141
54.292301,-4.579071
54.292295,-4.579052
54.292285,-4.579034
54.292274,-4.579012
54.292263,-4.578994
54.292251,-4.578974
54.292017,-4.578637
54.291995,-4.578598
54.291996,-4.578586
54.292005,-4.578563
54.292019,-4.578546
54.292032,-4.578535
54.292044,-4.578526
54.292055,-4.578514
54.292065,-4.578504
54.292074,-4.578495
54.292119,-4.578453
54.292110,-4.578437
54.292048,-4.578340
54.292025,-4.578296
54.291999,-4.578270
54.291672,-4.577737
54.291502,-4.577094
54.291270,-4.576488
54.291104,-4.575998
54.290896,-4.575700
54.290852,-4.575656
54.290849,-4.575649
54.290853,-4.575660
54.290853,-4.575657
54.290854,-4.575642
54.290841,-4.575635
54.290828,-4.575627
54.290821,-4.575616
54.290818,-4.575610
54.290815,-4.575604
54.290821,-4.575578
54.290823,-4.575575
54.290826,-4.575582
54.290829,-4.575595
54.290820,-4.575487
54.290636,-4.574860
54.290432,-4.574323
54.290257,-4.573770
54.290004,-4.573174
54.289958,-4.573057
54.289790,-4.572583
54.289724,-4.572318
54.289722,-4.572321
54.289717,-4.572315
54.289696,-4.572313
54.289681,-4.572319
54.289641,-4.572297
54.289595,-4.572244
54.289555,-4.572149
54.289539,-4.572109
54.289449,-4.571761
54.289363,-4.571509
54.289358,-4.571493
54.289343,-4.571458
54.289233,-4.571146
54.289204,-4.571081
54.289179,-4.570989
54.289120,-4.570925
54.289090,-4.570861
54.289055,-4.570814
54.289060,-4.570792
54.289074,-4.570807
54.288957,-4.570752
54.288948,-4.570735
54.288931,-4.570712
54.288893,-4.570646
54.288897,-4.570611
54.288892,-4.570611
54.288890,-4.570608
54.288892,-4.570604
54.288894,-4.570602
54.288878,-4.570445
54.288807,-4.570349
54.288770,-4.570191
54.288755,-4.569584
54.288600,-4.569321
54.288500,-4.569137
54.288503,-4.569123
54.288458,-4.569012
54.288333,-4.568807
54.288292,-4.568627
54.288183,-4.568288
54.288154,-4.568206
54.288094,-4.568017
54.288010,-4.567912
54.287936,-4.567853
54.287914,-4.567820
54.287881,-4.567761
54.287872,-4.567748
54.287868,-4.567718
54.287861,-4.567569
54.287880,-4.567432
54.287944,-4.567283
54.287944,-4.567263
54.287943,-4.567263
54.287925,-4.567244
54.287876,-4.567175
54.287706,-4.566955
54.287708,-4.566969
54.287653,-4.566943
54.287656,-4.566890
54.287632,-4.566799
54.287577,-4.566634
54.287558,-4.566595
54.287536,-4.566568
54.287511,-4.566534
54.287499,-4.566504
54.287455,-4.566504
54.287458,-4.566442
54.287457,-4.566437
54.287461,-4.566426
54.287462,-4.566410
54.287459,-4.566410
54.287447,-4.566418
54.287449,-4.566417
54.287454,-4.566419
54.287440,-4.566428
54.287431,-4.566427
54.287428,-4.566422
54.287458,-4.566385
54.287459,-4.566384
54.287462,-4.566390
54.287460,-4.566393
54.287444,-4.566389
54.287442,-4.566353
54.287409,-4.566315
54.287409,-4.566324
54.287333,-4.566138
54.287312,-4.566092
54.287211,-4.565780
54.287153,-4.565580
54.287146,-4.565556
54.287057,-4.565375
54.286963,-4.565143
54.286955,-4.565124
54.286892,-4.564937
54.286803,-4.564679
54.286747,-4.564551
54.286656,-4.564366
54.286648,-4.564324
54.286615,-4.564208
54.286604,-4.564185
54.286586,-4.564129
54.286551,-4.564040
54.286527,-4.563975
54.286523,-4.563950
54.286519,-4.563937
54.286430,-4.563762
54.286332,-4.563429
54.286275,-4.563273
54.286268,-4.563256
54.286177,-4.563014
54.286105,-4.562836
54.286098,-4.562822
54.286031,-4.562672
54.285918,-4.562390
54.285847,-4.562225
54.285828,-4.562211
54.285796,-4.562192
54.285780,-4.562213
54.285778,-4.562207
54.285764,-4.562209
54.285758,-4.562201
54.285753,-4.562206
54.285756,-4.562201
54.285746,-4.562205
54.285744,-4.562208
54.285722,-4.562217
54.285714,-4.562236
54.285753,-4.562094
54.285728,-4.562022
54.285672,-4.561823
54.285662,-4.561795
54.285644,-4.561749
54.285631,-4.561707
54.285543,-4.561403
54.285508,-4.561315
54.285419,-4.561060
54.285400,-4.561026
54.285386,-4.561004
54.285378,-4.560968
54.285366,-4.560918
54.285358,-4.560883
54.285355,-4.560866
54.285272,-4.560565
54.285260,-4.560518
54.285231,-4.560407
54.285197,-4.560364
54.285165,-4.560315
54.285124,-4.560228
54.285087,-4.560185
54.284975,-4.560002
54.284919,-4.559791
54.284899,-4.559739
54.284885,-4.559735
54.284849,-4.559745
54.284845,-4.559744
54.284817,-4.559731
54.284810,-4.559727
54.284792,-4.559692
54.284782,-4.559659
54.284770,-4.559574
